resolution,summary
"resolution of the miami city commission accepting the bids received on february 18, 2021 pursuant to invitation for bid (ifb) no. 1254386 from responsive and responsible bidders bioresponse, corp., florida profit corporation, jrp sons corporation fl cleanup, florida profit corporation, and muma sa lc, florida limited liability company, for the ifb group prequalified pool of vendors for the provision of bio hazardous waste, spills, and decontamination services, on an as needed basis, citywide for an initial term of two (2) years with the option to renew for two (2) additional two (2) year periods; allocating funds from the end user departments and such other sources of funds, subject to the availability of funds and budgetary approval at the time of need; authorizing the city manager to negotiate and execute any and all documents, including any amendments, renewals, and extensions, subject to all allocations, appropriations, prior budgetary approvals, compliance with all applicable provisions of the code of the city of miami, florida, as amended city code), including the citys procurement ordinance, anti deficiency act, and financial integrity principles, all as set forth in chapter 18 of the city code, in forms acceptable to the city attorney, and in compliance with all applicable laws, rules, and regulations, as may be deemed necessary for said purpose. city commission meeting agenda january 13, 2022 city of miami page printed on 2022 ca.2 11189 department of real estate and asset management resolution",The Miami City Commission accepted bids from responsive and responsible bidders for biohazardous waste services on an as-needed basis for an initial term of two years with the option to renew.
"resolution of the miami city commission finding that the novel coronavirus 2019 pandemic has caused force majeure del ay of the performance of riverside wharf, llcs (tenant) obligation to obtain permits for the proposed development of the city owned property located at 236 and 298 southwest north river drive, miami, florida, 33130 (property), which is currently lease to the tenant (project); authorizing an extension of the four (4) year deadline to obtain necessary building permits contained in section 29 of the charter of the city of miami, florida, as amended, for the project for an additional eighteen (18) mon ths; directing the city manager to take any and all actions necessary to formalize such extension; further authorizing the city manager to negotiate and execute an amendment to the lease of the property between the tenant and the city of miami, in form cceptable to the city attorney, setting forth revised deadlines for plan submittal, construction commencement, and construction completion consistent with the extension authorized herein. ca.3 10794 department of resilience and public works resolution",The Miami City Commission found that the COVID-19 pandemic caused a delay in Riverside Wharf LLC’s obligation to obtain permits for development of city-owned property and authorized an 18-month extension.
"resolution of the miami city commission authorizing the city manager to negotiate and execute memorandum of agreement, in form acceptable to the city attorney, with the florida department of transportation (fdot) for the installation of wayfinding iosks on fdot right ofway within the city of miami. history: 11 18 21 city commission deferred next: 01 13 22 result: deferred [unanimous] next: 13 2022 9:00 am mover: joe carollo, vice chair, district three seconder: manolo reyes, commissioner, dist rict four ayes: russell, diaz de la portilla, carollo, reyes, king city commission meeting agenda january 13, 2022 city of miami page printed on 2022 ca.4 11031 department of resilience and public works resolution",Miami City Commission authorizes city manager to negotiate installation of wayfinding kiosks with Florida Department of Transportation
"resolution of the miami city commission, with attachment(s), accepting perpetual sidewalk easement, in substantially th attached form, from dt miami llc, delaware limited liability company, for the purpose of public pedestrian access to portions of sidewalks constructed on northwest 1st avenue, northwest 3rd street, northwest street, and northwest 6th street, miami, lorida. ca.5 11187 department of resilience and public works resolution",Miami City Commission accepts perpetual sidewalk easement from DT Miami LLC for public pedestrian access on several streets.
"resolution of the miami city commission, with attachment(s), accepting two (2) right ofway deeds of dedication as described in exhibit a, attached and incorporated (collectivel y, deeds), for right ofway purposes; approving and authorizing the recordation of the deeds in the public records of miami dade county, florida; further directing the city clerk to retain copies of the deeds. ca.6 11029 department of police resolutio",Miami City Commission accepts two right-of-way deeds for public use and authorizes their recording in Miami-Dade County's public records.
"resolution of the miami city commission, with attachment(s), establishing new special revenue project titled fy 2022 speed aggressive driving enforcement saturation patrol project; accepting grant award from the florida department of transportati on (fdot) in the amount of $270,000.00 (funds) with no city of miami match required; appropriating the funds to the miami police department to provide resources for speed aggressive driving deterrence and education; further authorizing the city manager to execute the grant agreement, in substantially the attached form, with fdot; further authorizing the city manager to designate the chief of police or any other designee to negotiate and execute any and all other necessary documents, all in forms accepta ble to the city attorney, in order to implement the acceptance and administration of the grant. city commission meeting agenda january 13, 2022 city of miami page printed on 2022 ca.7 11039 department of police resolution",Miami City Commission establishes new revenue project and accepts grant from FDOT for Miami Police Department to deter speed and aggressive driving.
"resolution of the miami city commission, with attachment(s), establishing new special revenue project titled fy 2021 cops office law enforcement mental health and wellness act ('lemhwa') program; authorizing the city manager to accept grant award from the united states department of justice, office of community oriented policing services; further authorizing he city manager to execute grant agreement to accept grant funds in the amount of $124,268.00, with no required local match, and appropriating the said funds to the miami police departments peer expansion project for the provision of sixty (60) addition al peer support program members and procure customized cordico mobile application; further authorizing the city manager to designate the chief of police or other designee to negotiate and execute any and all other necessary documents, all in forms accept able to the city attorney, in order to implement the administration of the grant. ca.8 11040 department of police resolution",Miami City Commission establishes new revenue project and accepts grant from the US Department of Justice for Miami Police Department's peer expansion project.
"resolution of the miami city commission, with attachment(s), establishing new special revenue project titled bja fy 21 edwa rd byrne memorial justice assistance grant ('jag') program; authorizing the city manager to accept grant award from the united states department of justice, office of justice programs, bureau of justice assistance (grantor) in the amount of $249,360.0 0, with no local match required, and appropriate said award to the miami police department to provide funding for planning, evaluating, technical assistance, and contractual support for the implementation of the miami open data portal initiative; authorizi ng the city manager to execute grant award agreement, in substantially the attached form, with the grantor; further authorizing the city manager to designate the chief of police or other designee to negotiate and execute any and all other necessary docum ents, all in forms acceptable to the city attorney, in order to implement the acceptance and administration of the grant. city commission meeting agenda january 13, 2022 city of miami page printed on 2022 ca.9 11160 department of police resolution",Miami City Commission establishes new revenue project and accepts grant from the US Department of Justice for Miami Police Department's Open Data Portal initiative
"resolution of the miami city commission, with attachment(s), accepting grant award rom the state of florida, office of the attorney general, division of victim services and establishing new special revenue project titled 2021 2022 victims of crime act ('voca') grant consisting of said grant in an amount not to exceed $571,677.00, wit no matching funds required, to provide funding for personnel services and operational expenses of eight (8) full time advocate positions; further authorizing the city manager to negotiate and execute grant agreement as well as any and all other necessa ry documents, all in forms acceptable to the city attorney, for acceptance and administration of the grant. ca.10 11131 department of police resolution","Miami receives $571,677 VOCA grant for personnel and operational expenses for eight full-time advocate positions."
"resolution of the miami city commission, with attachment(s), establishing new special revenue pro ject titled miami impaired driving enforcement project; accepting grant award from the florida department of transportation (fdot) in the amount of $90,000.00 (funds) with no matching funds required; appropriating the funds to the miami police depa rtment to provide resources for enforcement initiatives to reduce incidents of impaired driving and establish highway safety campaign; further authorizing the city manager to execute the grant agreement, in substantially the attached form, with fdot; fur ther authorizing the city manager to designate the chief of police or any other designee to negotiate and execute any and all other necessary documents, all in forms acceptable to the city attorney, in order to implement the acceptance and administration of the grant award. ca.11 11132 department of police resolution",Miami City Commission accepts $90k grant from FDOT for Miami Impaired Driving Enforcement Project. Funds to be used for enforcement and highway safety campaign.
"resolution of the miami city commission allocating funds in an amount not to exceed $139,413.19 for one year period to the miami dade county association of chiefs of police, county cou rt standby program from the department of police general operating budget, account no. 00001.191501.534000.0000.00000. city commission meeting agenda january 13, 2022 city of miami page printed on 2022 ca.12 11266 department of planning resolution","Miami city commission allocates $139,413.19 for one year to Miami Dade County Association of Chiefs of Police county court standby program from the police department budget."
"resolution of the miami city commission, with attachments, pursuant to chapter 62, rticle xvi of the code of the city of miami, florida, as amended (city code), titled art in public places, approving the selection of the top shortlisted artists in accordance with section 62 658 of the city code to create design proposals as part of call to artists for the integration of public art on parcel zoned cs, civic space transect zone, located at approximately 5665 southwest street, miami, florida, also known as the city of miamis (city) bay of pigs memorial park (property); furth er approving the final selection of public art installation for the property; authorizing the city manager to negotiate and execute any and all necessary documents, including but not limited to contracts associated with the commissioning and installation of the art, all in form acceptable to the city attorney; making findings and requirements; ratifying, approving, and confirming all actions related to the commissioning, installation, and funding of public art within the city by the aippb, the citys plan ning department, and other certain city official and departments from january 12, 2017, the date the citys public art program was enacted via ordinance nos. 13656 and 13657, through the date this resolution is enacted. city commission meeting agenda january 13, 2022 city of miami page 10 printed on 2022 ca.13 11159 office of capital improvements resolution",Miami city commission approves public art installation at Bay of Pigs Memorial Park and final selection of top shortlisted artists.
"resolution of the miami city commission, with attachment(s), authorizing the city manager to accept, allocate, budget, and appropriate grant funds from the florida division of emergency management (fdem) in an amount not to exceed three hundred eighty three thousand four hundred seventy six dollars and eighty two cents ($383,476.82) (grant funds) for the brickell bay drive linear park and seawall flood control project associtated with city of miami office of capital improvements' project no. 40 b193802; further authorizing the city manager to execute the attached hazard mitigation grant program federally funded subaward and grant agreement (agreement), in substantially the attached form, with fdem to implement the acceptance and administration of the grant funds; further authorizing the city manager to negotiate and execute any and all other necessary documents, including but not limited to, amendments, extensions, renewals, and modifications, all in forms acceptable to the city ttorney, for the acceptance, implementation of, and compliance with the agreement for the grant funds. ca.14 11227 office of the city attorney resolution","Miami City Commission approves acceptance of $383,476.82 grant funds from Florida Division of Emergency Management for flood control project."
"resolution of the miami city commission authorizing the director of finance to pay andre bernard lewis, without admission of liability, the total sum of sixty thousand dollars ($60,000.00) in full and complete settlement of any and all claims and demands against the city of miami, leslier diaz, and leonel sanchez in the case of andre bernard lewis vs. city of miami, leslier diaz, and leonel sanchez pending in the circuit court of the eleventh judicial circuit in and for miami dade county, florida, case no. 19 031547 ca 02, upon the execution of general release of all claims and demands and dismissa of the defendants with prejudice; allocating funds from account no. 50001.301001.545010.0000.00000. city commission meeting agenda january 13, 2022 city of miami page 11 printed on 2022 ca.15 11308 department of finance resolution","Resolution authorizing payment of $60,000 to Andre Bernard Lewis to settle claims against the City, without admission of liability."
"resolution of the miami city commission, with attachments, authorizing the city of miami (city) to enter into municipal payment plan agreement (mppa) with oracle credit corporation (occ) to provide for the payment of the system price specified in the payment schedule described in exhibit b, attached and incorporated, in not toexceed total aggreg ate amount of eighteen million eight hundred five thousand seven hundred sixty one dollars ($18,805,761.00) for the acquisition and implementation of oracle cloud applications modules and processes pursuant to the proposal agreement from mythics, inc., rime contractor of oracle, dated november 8, 2021, attached and incorporated as exhibit a; authorizing the city manager to negotiate and execute the mppa with occ, in form acceptable to the city attorney, and any and all amendments and documents requir ed by said agreement, provided that the terms are consistent and in form acceptable to the city attorney; further authorizing the city manager to take any and all actions necessary to effectuate said purchase acquisitions, subject to the availability of funds and budgetary approval at the time of need, and to comply with all applicable laws, rules, regulations, and authorizations, including but not limited to, federal laws, state laws, the charter of the city of miami, florida, as amended, and the code of the city of miami, florida, as amended. end of consent agenda city commission meeting agenda january 13, 2022 city of miami page 12 printed on 2022 ph public hearings ph.1 10914 department of housing and community development resolution","Miami City Commission authorized a payment plan agreement with Oracle Credit Corporation for not more than $18,805,761.00 to acquire and implement Oracle Cloud applications."
