filename,categories,res#,resolutions
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.1,"A RESOLUTION OF THE MIAMI CITY COMMISSION ACCEPTING THE BIDS  RECEIVED ON FEBRUARY 18, 2021 PURSUANT TO INVITATION FOR BID (""IFB"") NO. 1254386 FROM RESPONSIVE AND RESPONSIBLE BIDDERS BIORESPONSE, CORP., A FLORIDA PROFIT CORPORATION, JRP & SONS CORPORATION D/B/A FL CLEANUP, A FLORIDA PROFIT CORPORATION, AND MUMA SA L LC, A FLORIDA LIMITED LIABILITY COMPANY, FOR THE IFB GROUP 5 PRE-QUALIFIED POOL OF VENDORS FOR THE PROVISION OF BIO - HAZARDOUS WASTE, SPILLS, AND DECONTAMINATION SERVICES, ON AN AS NEEDED BASIS, CITYWIDE FOR AN INITIAL TERM OF TWO (2) YEARS WITH THE OPTION TO RENEW FOR TWO (2) ADDITIONAL TWO (2) YEAR PERIODS; ALLOCATING FUNDS FROM THE END USER DEPARTMENTS AND SUCH OTHER SOURCES OF FUNDS, SUBJECT TO THE AVAILABILITY OF FUNDS AND BUDGETARY APPROVAL AT THE TIME OF NEED; AUTHORIZING THE CITY MANAGER TO NEGOTIATE  AND EXECUTE ANY AND ALL DOCUMENTS, INCLUDING ANY AMENDMENTS, RENEWALS, AND EXTENSIONS, SUBJECT TO ALL ALLOCATIONS, APPROPRIATIONS, PRIOR BUDGETARY APPROVALS, COMPLIANCE WITH ALL APPLICABLE PROVISIONS OF THE CODE OF THE CITY OF MIAMI, FLORIDA, AS AMENDED ( “CITY CODE”), INCLUDING THE CITY’S PROCUREMENT ORDINANCE, ANTI -DEFICIENCY ACT, AND FINANCIAL INTEGRITY PRINCIPLES, ALL AS SET FORTH IN CHAPTER 18 OF THE CITY CODE, IN FORMS ACCEPTABLE TO THE CITY ATTORNEY, AND IN COMPLIANCE WITH ALL APPLICABLE LAWS, RULES,  AND REGULATIONS, AS MAY BE DEEMED NECESSARY FOR SAID PURPOSE. City Commission  Meeting Agenda  January 13, 2022 City of Miami  Page 5 Printed on 1/5/2022  CA.2 11189 Department of Real Estate and Asset Management  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.1,"A RESOLUTION OF THE MIAMI CITY COMMISSION FINDING THAT THE NOVEL CORONAVIRUS 2019 PANDEMIC HAS CAUSED A FORCE MAJEURE DEL AY OF THE PERFORMANCE OF RIVERSIDE WHARF, LLC’S (“TENANT”) OBLIGATION TO OBTAIN PERMITS FOR THE PROPOSED DEVELOPMENT OF THE CITY -OWNED PROPERTY LOCATED AT 236 AND 298 SOUTHWEST NORTH RIVER DRIVE, MIAMI, FLORIDA, 33130 (“PROPERTY”), WHICH IS CURRENTLY LEASE D TO THE TENANT (""PROJECT""); AUTHORIZING AN EXTENSION OF THE FOUR (4) YEAR DEADLINE TO OBTAIN NECESSARY BUILDING PERMITS CONTAINED IN SECTION 29 -B OF THE CHARTER OF THE CITY OF MIAMI, FLORIDA, AS AMENDED, FOR THE PROJECT FOR AN ADDITIONAL EIGHTEEN (18) MON THS; DIRECTING THE CITY MANAGER TO TAKE ANY AND ALL ACTIONS NECESSARY TO FORMALIZE SUCH EXTENSION; FURTHER AUTHORIZING THE CITY MANAGER TO NEGOTIATE AND EXECUTE AN AMENDMENT TO THE LEASE OF THE PROPERTY BETWEEN THE TENANT AND THE CITY OF MIAMI, IN A FORM A CCEPTABLE TO THE CITY ATTORNEY, SETTING FORTH REVISED DEADLINES FOR PLAN SUBMITTAL, CONSTRUCTION COMMENCEMENT, AND CONSTRUCTION COMPLETION CONSISTENT WITH THE EXTENSION AUTHORIZED HEREIN. CA.3 10794 Department of Resilience and Public Works  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.3,"A RESOLUTION OF THE MIAMI CITY COMMISSION AUTHORIZING THE CITY MANAGER TO NEGOTIATE AND EXECUTE A MEMORANDUM OF AGREEMENT, IN A FORM ACCEPTABLE TO THE CITY ATTORNEY, WITH THE FLORIDA DEPARTMENT OF TRANSPORTATION (“FDOT”) FOR THE INSTALLATION OF WAYFINDING K IOSKS ON FDOT RIGHT -OF-WAY WITHIN THE CITY OF MIAMI. History: 11/18/21  City Commission  DEFERRED   Next: 01/13/22 RESULT:  DEFERRED [UNANIMOUS]  Next: 1/13/2022 9:00 AM MOVER:  Joe Carollo, Vice Chair, District Three SECONDER:  Manolo Reyes, Commissioner, Dist rict Four AYES:  Russell, Diaz de la Portilla, Carollo, Reyes, King City Commission  Meeting Agenda  January 13, 2022 City of Miami  Page 6 Printed on 1/5/2022  CA.4 11031 Department of Resilience and Public Works  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.3,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ACCEPTING A PERPETUAL SIDEWALK EASEMENT, IN SUBSTANTIALLY TH E ATTACHED FORM, FROM DT MIAMI LLC, A DELAWARE LIMITED LIABILITY COMPANY, FOR THE PURPOSE OF PUBLIC PEDESTRIAN ACCESS TO PORTIONS OF SIDEWALKS CONSTRUCTED ON NORTHWEST 1ST AVENUE, NORTHWEST 3RD STREET, NORTHWEST 5 STREET, AND NORTHWEST 6TH STREET, MIAMI, F LORIDA. CA.5 11187 Department of Resilience and Public Works  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.5,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ACCEPTING TWO (2) RIGHT -OF-WAY DEEDS OF DEDICATION AS DESCRIBED IN EXHIBIT ""A"", ATTACHED AND INCORPORATED (COLLECTIVEL Y, “DEEDS”), FOR RIGHT -OF-WAY PURPOSES; APPROVING AND AUTHORIZING THE RECORDATION OF THE DEEDS IN THE PUBLIC RECORDS OF MIAMI -DADE COUNTY, FLORIDA; FURTHER DIRECTING THE CITY CLERK TO RETAIN COPIES OF THE DEEDS. CA.6 11029 Department of Police  RESOLUTIO N"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.6,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ESTABLISHING A NEW SPECIAL REVENUE PROJECT TITLED “FY 2022 SPEED/AGGRESSIVE DRIVING ENFORCEMENT SATURATION PATROL PROJECT”; ACCEPTING A GRANT AWARD FROM THE FLORIDA DEPARTMENT OF TRANSPORTATI ON (""FDOT"") IN THE AMOUNT OF $270,000.00 (""FUNDS"") WITH NO CITY OF MIAMI MATCH REQUIRED; APPROPRIATING THE FUNDS TO THE MIAMI POLICE DEPARTMENT TO PROVIDE RESOURCES FOR SPEED/AGGRESSIVE DRIVING DETERRENCE AND EDUCATION; FURTHER AUTHORIZING THE CITY MANAGER  TO EXECUTE THE GRANT AGREEMENT, IN SUBSTANTIALLY THE ATTACHED FORM, WITH FDOT; FURTHER AUTHORIZING THE CITY MANAGER TO DESIGNATE THE CHIEF OF POLICE OR ANY OTHER DESIGNEE TO NEGOTIATE AND EXECUTE ANY AND ALL OTHER NECESSARY DOCUMENTS, ALL IN FORMS ACCEPTA BLE TO THE CITY ATTORNEY, IN ORDER TO IMPLEMENT THE ACCEPTANCE AND ADMINISTRATION OF THE GRANT. City Commission  Meeting Agenda  January 13, 2022 City of Miami  Page 7 Printed on 1/5/2022  CA.7 11039 Department of Police  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.6,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ESTABLISHING A NEW SPECIAL REVENUE PROJECT TITLED “ FY 2021 COPS OFFICE LAW ENFORCEMENT MENTAL HEALTH AND WELLNESS ACT ('LEMHWA') PROGRAM”; AUTHORIZING THE CITY MANAGER TO ACCEPT A GRANT AWARD FROM THE UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF COMMUNITY ORIENTED POLICING SERVICES; FURTHER AUTHORIZING T HE CITY MANAGER TO EXECUTE A GRANT AGREEMENT TO ACCEPT GRANT FUNDS IN THE AMOUNT OF $124,268.00, WITH NO REQUIRED LOCAL MATCH, AND APPROPRIATING THE SAID FUNDS TO THE MIAMI POLICE DEPARTMENT’S PEER EXPANSION PROJECT FOR THE PROVISION OF SIXTY (60) ADDITION AL PEER SUPPORT PROGRAM MEMBERS AND PROCURE A CUSTOMIZED CORDICO MOBILE APPLICATION; FURTHER AUTHORIZING THE CITY MANAGER TO DESIGNATE THE CHIEF OF POLICE OR OTHER DESIGNEE TO NEGOTIATE AND EXECUTE ANY AND ALL OTHER NECESSARY DOCUMENTS, ALL IN FORMS ACCEPT ABLE TO THE CITY ATTORNEY, IN ORDER TO IMPLEMENT THE ADMINISTRATION OF THE GRANT. CA.8 11040 Department of Police  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.8,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ESTABLISHING A NEW SPECIAL REVENUE PROJECT TITLED “BJA FY 21 EDWA RD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT ('JAG') PROGRAM”; AUTHORIZING THE CITY MANAGER TO ACCEPT A GRANT AWARD FROM THE UNITED STATES DEPARTMENT OF JUSTICE, OFFICE OF JUSTICE PROGRAMS, BUREAU OF JUSTICE ASSISTANCE (""GRANTOR"") IN THE AMOUNT OF $249,360.0 0, WITH NO LOCAL MATCH REQUIRED, AND APPROPRIATE SAID AWARD TO THE MIAMI POLICE DEPARTMENT TO PROVIDE FUNDING FOR PLANNING, EVALUATING, TECHNICAL ASSISTANCE, AND CONTRACTUAL SUPPORT FOR THE IMPLEMENTATION OF THE MIAMI OPEN DATA PORTAL INITIATIVE; AUTHORIZI NG THE CITY MANAGER TO EXECUTE A GRANT AWARD AGREEMENT, IN SUBSTANTIALLY THE ATTACHED FORM, WITH THE GRANTOR; FURTHER AUTHORIZING THE CITY MANAGER TO DESIGNATE THE CHIEF OF POLICE OR OTHER DESIGNEE TO NEGOTIATE AND EXECUTE ANY AND ALL OTHER NECESSARY DOCUM ENTS, ALL IN FORMS ACCEPTABLE TO THE CITY ATTORNEY, IN ORDER TO IMPLEMENT THE ACCEPTANCE AND ADMINISTRATION OF THE GRANT. City Commission  Meeting Agenda  January 13, 2022 City of Miami  Page 8 Printed on 1/5/2022  CA.9 11160 Department of Police  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.8,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ACCEPTING A GRANT AWARD F ROM THE STATE OF FLORIDA, OFFICE OF THE ATTORNEY GENERAL, DIVISION OF VICTIM SERVICES AND ESTABLISHING A NEW SPECIAL REVENUE PROJECT TITLED “2021 -2022 VICTIMS OF CRIME ACT ('VOCA') GRANT” CONSISTING OF SAID GRANT IN AN AMOUNT NOT TO EXCEED $571,677.00, WIT H NO MATCHING FUNDS REQUIRED, TO PROVIDE FUNDING FOR PERSONNEL SERVICES AND OPERATIONAL EXPENSES OF EIGHT (8) FULL -TIME ADVOCATE POSITIONS; FURTHER AUTHORIZING THE CITY MANAGER TO NEGOTIATE AND EXECUTE A GRANT AGREEMENT AS WELL AS ANY AND ALL OTHER NECESSA RY DOCUMENTS, ALL IN FORMS ACCEPTABLE TO THE CITY ATTORNEY, FOR ACCEPTANCE AND ADMINISTRATION OF THE GRANT. CA.10 11131 Department of Police  RESOLUTION"
2022-01-13 City Commission - Public Agenda-2767.pdf,CA - CONSENT AGENDA,CA.10,"A RESOLUTION OF THE MIAMI CITY COMMISSION, WITH ATTACHMENT(S), ESTABLISHING A NEW SPECIAL REVENUE PRO JECT TITLED “MIAMI IMPAIRED DRIVING ENFORCEMENT PROJECT”; ACCEPTING A GRANT AWARD FROM THE FLORIDA DEPARTMENT OF TRANSPORTATION (“FDOT”) IN THE AMOUNT OF $90,000.00 (""FUNDS"") WITH NO MATCHING FUNDS REQUIRED; APPROPRIATING THE FUNDS TO THE MIAMI POLICE DEPA RTMENT TO PROVIDE RESOURCES FOR ENFORCEMENT INITIATIVES TO REDUCE INCIDENTS OF IMPAIRED DRIVING AND ESTABLISH A HIGHWAY SAFETY CAMPAIGN; FURTHER AUTHORIZING THE CITY MANAGER TO EXECUTE THE GRANT AGREEMENT, IN SUBSTANTIALLY THE ATTACHED FORM, WITH FDOT; FUR THER AUTHORIZING THE CITY MANAGER TO DESIGNATE THE CHIEF OF POLICE OR ANY OTHER DESIGNEE TO NEGOTIATE AND EXECUTE ANY AND ALL OTHER NECESSARY DOCUMENTS, ALL IN A FORMS ACCEPTABLE TO THE CITY ATTORNEY, IN ORDER TO IMPLEMENT THE ACCEPTANCE AND ADMINISTRATION  OF THE GRANT AWARD. CA.11 11132 Department of Police  RESOLUTION"
